id,name,team,opponent,event_start,position,salary
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,ATL,BIR,16:00 2019-02-24,WR,6100
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,ATL,BIR,16:00 2019-02-24,WR,4100
MknoSN9MGmBuZzYLHMocyN2vdMN3,James Clark,ATL,BIR,16:00 2019-02-24,WR,3000
MnrSf8JxresR48TO7cfWeGP_-rcC,Bronson Hill,ATL,BIR,16:00 2019-02-24,RB,3000
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,ATL,BIR,16:00 2019-02-24,TE,3100
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,BIR,ATL,16:00 2019-02-24,RB,7200
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,"Wes Saxton, Jr. ",BIR,ATL,16:00 2019-02-24,TE,3000
Mmo4mbAD4Ss39YqyP4QDa78tOgyo,Jamal Robinson,BIR,ATL,16:00 2019-02-24,WR,3000
MmswBWT__IFVOjgErBIPv-ypTyG7,Quan Bray,BIR,ATL,16:00 2019-02-24,WR,3000
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,BIR,ATL,16:00 2019-02-24,WR,4000
MsWlWGFivq3_ThVsuPkEYl2t2gMZ,Brandon Ross,BIR,ATL,16:00 2019-02-24,RB,3000
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,BIR,ATL,16:00 2019-02-24,WR,3600
Mpe260WopCdu04wdxKraGyNjuaTT,Braedon Bowman,BIR,ATL,16:00 2019-02-24,TE,3000
MpLSJ46k-Ofo2ScV_SnFatgxLtQq,Justin Holman,ATL,BIR,16:00 2019-02-24,QB,5000
MpF9nUlq2CazMaVnaXVN9Cxnes98,Marshaun Coprich,BIR,ATL,16:00 2019-02-24,RB,3000
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,BIR,ATL,16:00 2019-02-24,QB,5700
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,ATL,BIR,16:00 2019-02-24,WR,5900
